condition,review,rating,usefulCount
Bacterial Infection,"""I&#039;m allergic to penicillin and clindamycin has been a blessing over the years for serious infections after other non-penicillin antibiotics have failed.  In 2007 for a severe dental infection, and now for a strep infection in my leg.  The doctors do not want to use this &#039;first&#039; because it is so strong.  Little bit of funky taste, drowsiness but overall  I tolerate it OK.""",10.0,43
Muscle Spasm,"""I take 10mg 3x a day along with ibuprofen when my lower back starts acting up. I am better in 2 - 3 days. Works great for me.
My doctor used to also prescribe a narcotic pain reliever but that did nothing for the pain. Ibuprofen along with Flexeril works best.""",9.0,103
Acne,"""So my acne before was mild but I was told it would start clearing my acne in the third month. I am finishing my third month and my skin is much much worse than it was. I am left with red markings/scars everywhere all over my face and I am at my wits end. I am torn between continuing or giving up,""",3.0,42
Secondary Hyperparathyroidism,"""Sensipar has worked well for me. Five plus year dialysis patient. Unfortunately being forced from private insurance to Medicare Part D with supplementary Part D private supplemental plan. Cost of Sensipar and it&#039;s cumulative dollar cost along with all my other medications places me into the Part D donut hole almost immediately. Manufacturers patient support plan (which was wonderful when I had private insurance) stops when I transfer to Medicare Part D. There appears to be nothing for Medicare Part D patients from manufacturers. I don&#039;t understand why but these are just the facts. Bottom line is that while Sensipar works effectively it is classified as a Tier 3 and is priced prohibitively.""",9.0,6
Major Depressive Disorde,"""I have been taking it for a week and have tons of energy!  I am excited and happy.  I am getting a lot done and it is great.  I do have trouble with winding down at night though.  This is the reason for the rating of 9 otherwise it would have been 10.""",9.0,123
Amenorrhea,"""Didn&#039;t have a period for 1.5 years - was diagnosed with Polycystic Ovarian Syndrome and hypothyroidism. As hubby and I have been trying to conceive, not having any periods has been difficult to judge any ovulation. Was put on Provera to induce a period before doctor prescribes any ovulation mediciness. Took Provera for 10 days, didn&#039;t have any side effects. But after I stopped, I felt nauseous, breasts were very sensitive, was over emotional/very irritable, and a bit dizzy at times. Had light spotting on day 3 and 4 after stopping Provera, then period starting on day 5. Day 5 and 6 were light-medium, but then afterwards was extremely heavy for 2-3 days with really bad cramping.""",8.0,98
Depression,"""I&#039;ve been taking this for almost 2 months. After doing more research I&#039;ve realized it isn&#039;t for me. I feel no worse or better then when I started it. I have post traumatic stress disorder and this doesn&#039;t seem to be helping at all.""",2.0,43
Irritable Bowel Syndrome,"""I&#039;ve been on this pill for over a decade (currently 29) and I am totally irritable bowel syndrome symptom free on this. I suffer from D-IBS and was told I&#039;m in the top 5% of the worst. Before the pill I could barely function, lots of mucus. On the medicine I&#039;ve achieved 2 degrees and a career as a teacher. It&#039;s literally a miracle pill for me. My biggest fear now is having to go off it when I get pregnant.""",10.0,22
Depression,"""Best antidepressant I&#039;ve ever tried.  Horrible sexual side effects, especially since I&#039;m a newlywed.  But at least I&#039;m happy.""",8.0,60
Chronic Pain,"""My first full day on the patch (12mcg), about 15 hours after starting it, I started throwing up and threw up quite a bit all day long.  I have been paralyzed before with a spinal cord infection, I am able to walk now, but massive chronic pain and nerve damage from the surgery.

I can tell already that my pain level has gone down, I have not had to take as many Lortabs today than normal.  I am looking to stop taking as many pills as I have so many other health issues that I have to take pills for.   Interaction with other medicines increases the side effects.""",8.0,16
Chronic Pain,"""I never was into pills before but in 2009 I had a child and with all my kids I had to have a C-section. It started by me not being able to move out of bed and take care of my kids. I decided to take 3 x 500s Vicodin and that&#039;s when it took me right away. I started taking them everyday to get the pain to go away and for that energy. I had a 2 year old and a newborn and I was changing 2 diaper at once on Vicodin. I couldn&#039;t believe the energy. Anyways years later no kids, no house, no car, or anyone, my friend told me about Subutex and I went and tried it out and have been clean since Nov 2012 recently had another child in 2013 and I didn&#039;t even want any pain meds actually Subutex took my pain away more. This has truly changed my life""",10.0,70
Back Pain,"""Used 75mg Voltaren twice a day as a maintenance for pain. The problem with pain sleeping was created by deterioration of fitness because of side effects from chemotherapy treatment for invasive breast cancer.""",10.0,31
Acne,"""Tetracycline was a miracle for me. I&#039;ve had severe acne for 7 years and tried every medicine on the market, most of them made me sick or didn&#039;t work. I&#039;m now 99% acne free. It is weird to wake up and not see a cyst or pimple on my face every day. I just hope it stays like this forever.""",10.0,31
Influenza,"""My 11 month old son had a fever of about 103. After a strict rotation of Motrin and Tylenol (as directed over the phone by our pediatrician) we managed to keep the fever down until the next morning when we could get to the office. He tested positive for influenza, and the doctor prescribed Tamiflu. I was a bit skeptical because of my son&#039;s age, but followed doctors orders. Twenty four hours after the first dose, my son was chasing the dog around the living room at full speed, giggling relentlessly. I made sure to always give the medicine on a full tummy, and he didn&#039;t seem to have any unpleasant side effects. I am definitely sold on this medication.""",10.0,41
Hashimoto's disease,"""Armour has given me energy again and without any side effects.
Synthoid never made me better. It hurt my bones and gave me a big face.""",10.0,144
Asthma,"""I was on Singulair for about a year, when my medical aid would all of a sudden only pay for Tropaz (I believe it is a generic). Tropaz was equally effective, but after about six months of use I developed terribly dry and burning lips. I went of Tropaz for about six months, and started using it again. My lips were fine and for a couple of months I had no side-effects. The medical aid then changed from Tropaz to Minair and within 2 two months I had a disastrous allergen of hives and welts.""",7.0,24
Birth Control,"""I was on the Depo shot for a little over a year and a half. At first I had a very long period (14 days for a few months when my period was generally about 3 days previously). Then I stopped having a period altogether. Its been a month since I was due for my shot. After reading online I was worried that I would be waiting months-year to get my period back after it however, I woke up today and thankfully got it. I&#039;ve never been so happy to get my period before. I guess I&#039;m one of those lucky few that get their period back as soon as they are off of it. """,6.0,6
Herpes Simplex,"""I skipped the tingle stage all together. My lips had been really dry and I was using Chapstick when all of a sudden there was a random blister on my lip. I immediately went and bought some Abreva. It never got past the blister stage. It has been 2 days and it just looks like a dry patch now. No scab. No oozing. Can&#039;t even tell it&#039;s there if you didn&#039;t know.""",10.0,46
Birth Control,"""I&#039;ve been on Tri-Previfem going on my fourth month. I have noticed an increase in breast size, extra water weight, tenderness in breast along with nausea and headaches. It doesn&#039;t seem to be cooperating with my body, but I haven&#039;t gotten pregnant, which is good. I don&#039;t get pimples as much as I used to, and I&#039;m more emotional. This is my first time on birth control, and I am not satisfied with it. I will be going back to my doctor for a change.""",6.0,7
Migraine,"""I have had migraines ever since I was about 19. They have gotten worse over the years and I have tried everything over the counter. I recently went home because of a sick relative. I woke up @ 2 a.m. with one if the worse migraines of my life. Vomiting all day. My step father gave me a Fiorinal. And within 15 mins it was gone. I just went to my physician. And he prescribed it for me. I pray it continues to work.""",10.0,26
Birth Control,"""This is my second time around on this. I took it about 3 yrs ago for a full year and totally loved it, hence why I got back on it. This time it was a much different experience. The 3 months I was on it was constant breakthrough bleeding pretty much every single day. About 8-10lbs weight gain (fairly active, in my late 20s, eat clean). Sex drive was non existent. No acne, thankfully. I also experienced some depression, never suicide but just down and blue most days. I am switching to Microgestin Fe 1/20 because OB said Lo Loestrin may have been too low of a dosage for me.""",6.0,19
Major Depressive Disorde,"""I was chronically depressed and had many psychiatrists diagnose me with severe depression, which I had experienced unfaillingly for 5 years. I could identify no cause for my depression, which made it even harder for me since I didn&#039;t know what was causing me to become extremely suicidal. I had 4-hour lasting sobbing spells (even when I had otherwise great events happening at that time). I felt gloomy, lonesome, uncared for, and depressed. 
Now I feel content and at ease for the first time in 5 years. I no longer become sad unless I have a reason to- which for me is phenomenal. If good things happen, I feel happy and not sad. I can function better in my work, family life, and simple daily activities like driving or even grocery shopping.""",9.0,115
Birth Control,"""I&#039;m 17 and this is my first birth control pill ever and I&#039;ve only been on it for 4 weeks. I&#039;m currently experiencing my first period on the pill. Before I was on birth control I had extremely terrible cramps as most people in my family do. However this period has been GREAT. No cramps and my flow is extremely light and easy. The only downside is that when I gain weight it sticks and stays which is abnormal because my weigh used to fluctuate and my attitude is a little bit more raw and sensitive. With that being said this pill was a great fit for me , I&#039;d recommend it!""",9.0,6
Smoking Cessation,"""November 2007, I woke up one day and said to my husband, I am calling the doctor because I want to quit smoking.  I was up to 3 packs a day.  He told me to do what I have to.  Called the doc tor and said &quot;Help me quit smoking&quot;.  He told me to be in his office that afternoon.  He gave me a perscription for Chantix.  My husband took the script to the pharmacy to get it filled.  The pharmacist the script and she looked at it and said to him &quot;Do you realize that this will cost you $180.00 for each month?  My husband said, &quot;If this helps her to stop smoking, I will pay whatever I have to.&quot;  With Chantix it took me 2 1/2 months to quit.  I had no side effects whatsoever.  I am now 9 years free of smoking.  Thank you Chantix.""",10.0,16
Birth Control,"""I switched over to the NuvaRing from Gildess FE 1/20 simply for the convenience.  Gildess worked great for me, no side effects, so I figured I would try NuvaRing.  I had to stop it after two months.  The second month on the ring, I experienced off and on anxiety, depression at times, unmotivated, and just not like myself.  I attributed it to it being finals week in college... but when I didn&#039;t feel at peace at all during break, I knew something was wrong.  I even flipped out on my boyfriend for no reason and ignored him.  The final straw was the random crying outbursts I experienced.  Nothing was bothering me, but I found myself fighting back random tears.  Back to Gildess for me!  Thank god!  I can&#039;t sacrifice emotional stability for convenience.""",3.0,18
Obesity,"""Last year I was on my way to Lap Band surgery when a friend of the family suggested Belviq as an alternative. I had my ups and downs but in the end I have lost 64 pounds and have thirty more to go. My medicines are down and my blood work has improved dramatically. High praise as this saved me from getting surgery. Only side effect better sleep and I was tired initially first three days. I don&#039;t chew my nails and feel more calm and am happier then I have been in years.""",10.0,134
Anxiety,"""Good medicine.""",9.0,42
Birth Control,"""I&#039;ve been on this pill for 3 months and I&#039;ve gained 10 pounds. I&#039;m bloated the first two weeks of my pills. It&#039;s terrible. I always start in the middle of my row of my active pills and my period is long. Like 8 days. Not happy. I&#039;m calling to switch. I switched from Minastrin Fe which was terrible too.""",2.0,14
Bipolar Disorde,"""I&#039;ve had mostly positives with it. I do have some difficulty moving quickly at the gym because it causes dizziness, but this is a small inconvenience. It does raise my sugar, but weight loss counteracts this. It is really expensive, so I&#039;m glad my insurance pays for it.""",9.0,66
Birth Control,"""My sister switched to this birth control after I had such a success with it. I haven&#039;t noticed any weight gain, in fact I have successfully lost weight on it after making some dietary changes. I get more emotional than usual the first day back on it after taking the 4th week off. Besides that, no complaints. So glad to find a birth control that works for me without any crazy side effects. Been over 2 years on it now. LOVE it.""",10.0,12
Deep Vein Thrombosis,"""I am a 39 year old woman with a history of DVT who switched from warfarin to Xarelto . Shortly after starting the medicine I began to experience migraines for the first time. After two weeks of being on it, I began my menstrual period as scheduled. The period was severe bleeding 6 days straight, at that point I went to the ER, I ended up with several blood transfusions that were not helping, my hemoglobin was dropping to dangerous levels. The only thing to be done was an emergency uterine ablation. I believe that blood levels DO actually need to be monitored. My blood was so thin I was not clotting. """,1.0,44
High Blood Pressure,"""Had taken Diovan 160mg and a separate water pill 12.5mg. Then my doctor switched me to Diovan HCT to save money. No good. Wound up with a severe rash. Switched back to the two pill system and now am fine.""",1.0,14
Weight Loss,"""I started phentermine 05/13, by 07/13 the medication felt as if it had quit working. I become &quot;immune&quot; to medication. Example, I have High Blood Pressure &amp; Diabetes. I have to change my medication and Insulin every 3 months because they quit working. I can eventually go back to the same meds, but only after they&#039;ve been switched up a bit first. 
My doctor upped my dosage to x2 a day. I got the script 09/01/13 &amp; joined the gym that same day. I&#039;ll take the phentermine for 3 weeks, then come off for 10 days. Start again for 3 weeks. I work out 5 days a week, for 1 1/2 hours. On 03/07/14 I had dropped 56lbs. No where near what I wanted. That same day, I started the Topamax. I&#039;ve not weighed yet but I feel a difference. No major side effects.""",7.0,3
"Diarrhea, Chronic","""After 41 years of horrible pain, diarrhea and incontinency, I met a GI Dr. Who Ordered Welchol.  I thought he was nuts.  Within 4 days I was normal.  I would willing mortgage my house to pay for this medicine. Max dose 6/day. I now have a Life.  It&#039;s so nice not to be told I was nuts, nervous, anxious, need a shrink and all the other crap I listened to for 41 years.  I have been fine for almost 6 years with only 2 one day relapses.  My gallbladder is fine. I am one happy camper.  True story folks.""",10.0,113
Birth Control,"""I was on the shot for 2 years. I&#039;m 5&#039;3 120 pounds naturally. I weighed up to 130 while on the shot. It is extremely effective for protection against pregnancy. Although I have no sex drive and terrible mood swings and weight gain in abdomen, face and buttocks. The pros would be clear skin and effectiveness against pregnancy but wouldn&#039;t recommend it for short term birth control or for women who gain weight easily. Took my body almost a year to regulate itself after stopping.""",10.0,11
Obesity,"""Love this medicine. Started taking it on 3/11/14. Age 47 weighed in at 282lbs with A1c 6.6 on 5/16/14.  I weighted in at 262lbs and a  A1c 5.4 in just 60 days!""",10.0,81
Depression,"""I&#039;ve been on Viibryd for 4 days for Generalized Anxiety, Mild Depression (Dysthymia). Can tell a difference already. LOVE it! Best SSRI for my body so far. Tried Lexapro, but had gastrointestinal issues. Paxil was better than Lexapro, but not &#039;the one&#039; Only tried 1 dose of Cymbalta, and felt like I had the flu for 4 days (and I rarely get sick). So far, so good with this. NO side effects, but on the lowest dose (10 mg). My Dr said this is a fairly new medicine, and it seems to be getting good reviews from many people. Clearly not all things work for all people, but my experience has been good!""",9.0,135
Anxiety and Stress,"""I posted my initial experience with Prozac a few months back and it still is working great! I have lost a few pounds, still eat much less than before and my anxiety is all but gone. I no longer need Klonopin-I was taking about 5 of those a week prior to Prozac. I am on a low dosage and have not needed to adjust up or down. 
Bottom line-my anxiety is under control and I feel great-without any side effects.""",10.0,147
Chronic Pain,"""I have tried all of it and so far Dilaudid works best for me.""",10.0,69
Bipolar Disorde,"""I&#039;ve was dubious about lithium and didn&#039;t want it. Time came that it was a choice left. At first I had nausea, and thirst. My doctor out me on a XR brand and it was better.  I can honestly say today, I don&#039;t know if it&#039;s working or not.  It is such a medicine that just does what it needs to do.  But a warning is- watch your salts either on your plate or in the sun.  I was told by the chemist and then I became aware when one day, I was out in the heat and walking around. I felt faint after a while. Next day I felt washed out.  And this has happened a few times.   Lithium is based on salts and this can play a little chaos.  Especially in the heat.""",10.0,43
Chronic Pain,"""Great for fibromyalgia""",10.0,56
Obesity,"""I am a 57 year old woman, 5&#039; 6&quot; and weighed in @ 234.6 lbs.  I started with the lower dose as recommended by my doctor on July 14, 2014 and it is now two-weeks later and I have lost 7 lbs.  I have been steadily gaining weight over the past 20 years but in particular the past 7 years.  This medication seems to be helping.  I will admit that the very first day I questioned whether I could continue taking this because I was so drowsy I could barely function at work.  However, each day got better and by the 4th day I did not feel any effects at all. I have now moved onto the stronger dosage.  I have also not experienced the constipation that many have complained about here on this commentary.  I am hoping for good results as time goes by.""",8.0,61
Migraine,"""Gabapentin not only helped with migraines, shortening their intensity, duration and also my recovery time afterward, but it also helped with spasticity, my duration and quality of sleep, muscle stiffness and pain and some cognition. I take it for issues surrounding traumatic brain injury and have had no negative side effects, but several positive ones.""",10.0,83
Schizophrenia,"""I have been taking Latuda for about two years now and I must say that it really works good for stopping the voices in my head. I also do not get depressed anymore like I was without the Latuda and my Bipolar disorder is a lot less hectic. I recommend this medication to anyone who might be suffering with Bipolar, Depression, and Scizophrenia. Latuda really works.""",10.0,93
Psoriasis,"""After 30 plus years of SUFFERING with Psoriasis and after being on Stelara for 5 years now I don&#039;t have a skerik any where on my body.

I had a PASI rating of 91, now its 0.

Thank you Stelara.""",10.0,48
Major Depressive Disorde,"""Zoloft is a very good medication for anxiety and depression.  For me better with anxiety.  I am BiPolar I, am also on Zyban 150 a day. Taking these two medications together is fine as is also taking when you are BiPolar.  Only with a specialists direction, though.  I have been on Zoloft a couple of times the only side effect before was severe diarrhea.  This time when I started taking it I got butterflies in the stomach and flutters, but over time this unusual for me side effect left me.    Some say how many weeks to feel a impact. For me this last time was around 6 weeks. Which is normal. It&#039;s been proven that any time prior 4 weeks is most likely placebo effect.  But if you feel better well, whether a placebo effect or not, it&#039;s good.""",9.0,23
Chronic Pain,"""I have degenerative spinal damage which in turn has also caused osteoarthritis in my back. I wake up stiff as a board and in pain. And I suffer from an overall achy feeling throughout the day. Tramadol has been a God-send (quite literally). I take 50mg first thing in the morning. And then a 2nd pill if my pain is greater that day. It only took a week or two to adjust and not feel like a zombie or sleepy. These work wonders for my pain and stiffness, and I have no side effects. Tramadol, I swear by. I&#039;d be in excruciating pain without them, or have to deal with all the risks and effects of having to take heavy duty pain medicines. I recommend.""",9.0,47
Birth Control,"""I LOVE this birth control! I&#039;ve been on it for almost a year. The first month or two my appetite shot up, and I gained a little weight. But after that first month or two my body finally got used to it, and my appetite went back to normal, and weight went down again. Other than that there were no side effects! And it&#039;s done its job in preventing pregnancy!""",10.0,5
Bipolar Disorde,"""I&#039;ve had a horrible experience on this medicine. It makes me really irritable, even more depressed and anxious. """,1.0,73
Obesity,"""Been on Belviq for four month lost 43.2 pounds. No side effects. Started at 5&quot;10 243 pounds and now at 200 pounds, 59 year old guy. Feel great blood work getting cleaner. Cardio on the way along with fewer carbs. Stopped smoking after six weeks but was a half pack a day, 20 year smoker.""",10.0,89
Pain,"""Had excruciating right shoulder pain radiating down my right upper arm to my shoulder with limited restrictive  movement in my right arm/hand. Diagnosed tendonitis. Doctor prescribed Flector Patches which I started and noted &quot;pain relief&quot; in 48hours with full movement in my right shoulder, arm and hand. Very, very satisfied with Flector treatment and returning to full range of motion with my right upper extremity.""",10.0,40
Birth Control,"""I&#039;ve had Nexplanon for about 4 months now. My first period after getting it was a week late but regular as far as bleeding amount and length, after that I have not had a period in over 2 months which is great and it is very effective as far as me not getting pregnant. After I first had it implanted I had a lot of cystic acne on my jaw and cheeks but that cleared up after about 2 months and hasn&#039;t returned. No cramping at all since getting it. But I&#039;ve gained about 15 pounds which is the only reason I&#039;m thinking of getting it removed. I&#039;m happy with it otherwise. I&#039;m dieting and exercising more to see if I can drop the weight but if not or I keep gaining weight I will be having it removed.""",7.0,8
Depression,"""I had been on Pristiq for about 1 year at 50mg. While on it, the feelings of depression and anxiety pretty much disappeared. However, after changing my lifestyle for the better and going off Pristiq I have been dealing with withdrawal side effects. It has been 4 weeks now and I still have the brain zaps which make me feel unsteady. These zaps have been continuous and extremely upsetting.  Add to this the deep states of sadness (mention the least sad thing and I would start crying) and the nightmares....it has been a very rough 4 weeks. For the last week I have had blood pressure swings from 110/60 to 218/111 and weakness in the large muscles of my legs and arms. For those going on or off, be careful!""",5.0,116
Emergency Contraception,"""I realized I had been with my partner on a very fertile day, about 14 days before my period was due.  I panicked and took Plan B about 20-24 hours later.  I was able to buy it at Rite Aid over the counter, which was a relief!  I took the pill and had no side effects until about the time my period was due, and then I got a migraine aura twice in a day.  Very scary, but I am prone to migraine auras when my hormones change.  I figured my period was very close, but it didn&#039;t come.  I had no other symptoms except maybe slight nausea.   Finally, 6 days later I started spotting and having cramps.  Hallelujah!  I&#039;ve never been happier to get my period.  It was 6 days late. So don&#039;t worry - this medication DOES work.""",9.0,30
Nightmares,"""I have Post Traumatic Stress Disorder and suffer from night terrors and have been on prazosin and this does not help with my night terrors.""",1.0,29
Migraine,"""Have had migraines for about 7 yrs. Seems to have started a while after slipping and falling on my back in the kitchen. Held out arms to break fall and my head tucked slammed back. Headaches so intense you literally will call 911 to get immediate pain relief NOW . Vomiting which intensifies the pressure and blurred vision that is in no way a typical headache. Relpax 40 is the only thing I have ever tried and works. Add a ice pack and a BC powder and it works faster to relieve my pain. Makes me feel much better after a long nap in a dark cold room. Like any other illness it takes a day or so to feel normal again. I have ins. and pay $10 for 10 pills per month with the discount card. Before that I paid $10 per pill. Its truly a miracle med.""",10.0,11
Obesity,"""I have lost 66 pounds since last July.Since Jenny Craig,Adkins,Lipozene and everything else is a yo yo trap. I am happy to be where  I am now based on past failures. Do not lose hope this will change your life for the better. Headache yes, great sleep yes. No lap band, no awful gastric bypass for me.""",10.0,97
Birth Control,"""So, I&#039;m on month two of my pack and my acne, which wasn&#039;t bad before I started taking the Pill, is out of control. I do tend to feel bloated more than usual, but my appetite is about the same. I do, however, feel as though I am gaining a bit of weight.""",5.0,6
Irritable Bowel Syndrome,"""I am taking cholestyramine to help control diarrhea caused by irritable bowel syndrome. It is extremely helpful. The only thing I don&#039;t like is the idea that it has started to stain my teeth and can eat away tooth enamel.""",9.0,61
Generalized Anxiety Disorde,"""I started having severe panic/anxiety attacks a few years ago after a traumatic experience. I used to have anxiety all day everyday. I lost weight, couldn&#039;t eat, sleep and became literally afraid of everything! I tried other meds and was frustrated after repeated failed attempts. Finally I went to see a new Doctor who convinced me to try LEXAPRO. I was skeptic at first. After a few days I noticed a major difference! I was more relaxed and felt like my old self again. There wasn&#039;t any major side effects only during the first two weeks I felt really tired but calm. But that went away after a few weeks. I continued the medication and now I can honestly say I have my life back! I gained a little weight but I manage with exercise. HIGHLY RECOMMEND.""",10.0,86
Acne,"""Epiduo is amazing. I had pretty bad face and back acne for a while and nothing worked to clear it. My sister had the same problem so she was prescribed Epiduo and it helped her a lot so I decided to give it a try. It cleared my skin really fast. I saw a difference after just using it twice. I read other comments and they all complained about the dryness and burning but that only happens because they use it everyday from the start. You&#039;re supposed to ease into it like maybe use once every 3 days then after a few times of doing that use it every other day and then if you really need to, which I find that I don&#039;t, you use it everyday.""",10.0,31
Acne,"""This will make your skin COMPLETELY clear.""",10.0,18
Weight Loss,"""Been exactly a month using and I&#039;ve lost 14 lbs. Have had little time to exercise so I&#039;m hoping to start soon with the nicer weather.  Side effects at beginning were dry mouth and back ache. None now, so from 216 to 202lbs. Goal is 170lbs.""",10.0,110
Helicobacter Pylori Infection,"""I have had stomach problems for the past 6 years and was prescribed medications such as Nexium, Zantac and Protonix however I saw no results. 2 weeks ago I went to emergency for extreme stomach pain and vomiting I was diagnosed with H pylori and given the 14 day treatment Prevpac the first couple days I had symptoms such as a metal taste in mouth and feeling fatigued. On day 7 I started getting minor headaches, I am pleased to say I am on day 14 and just finished the pack and I am feeling great. Make sure to drink lots of fluids and eat healthy during the treatment.""",10.0,46
Generalized Anxiety Disorde,"""It made me sick and severely depressed. I was waking up everyday with suicidal thoughts. It was awful""",1.0,33
Hepatitis C,"""I take it with Olysio. 1 pill of each daily. I have had little to no side effects and it wiped out the viral load in 1 month.""",10.0,55
Emergency Contraception,"""I have used Plan B a few times and it helps me feel confident knowing there is a back up plan in preventing pregnancy. It is expensive but well worth the money. The only side effects I experienced with this pill is irregular period and right after I take the pill my stomach aches.""",10.0,9
Constipation,"""So, unlike my hubby, who got the stereotypical &quot;runs&quot; in Mexico,  I got the opposite - 10 days of no poo in Puerto Vallarta. I tried EVERYTHING towards at the end of our 2nd week &quot;dream&quot; vacation. Anyway tried drinking too much alcohol,  took stool softeners, stimulant laxatives, suppositories... until one day we where downtown &amp; I have to say that I&#039;m in pretty darn good shape, but I looked like death and was covered in sweat. An old pharmacist saw me &amp; insisted we come into his Farmacia - my husband explained what was wrong, THEY BOTH LAUGHED, he came back with a bottle that looked like Target&#039;s brand &amp; I thought it was good - tasted like sour patch soda. In 1 hour I DESTROYED one of our resort&#039;s toilets. Thank you old pharmacist I love you!""",10.0,116
ADHD,"""My son is 11 and has been taking Metadate CD for 4 years.  He is now taking 30mg in the morning.  He is very thin and has no appetite during the day, but when his appetite comes back at bedtime we always let him eat as much as he wants.  When he doesn&#039;t take this medication he says he can&#039;t do any of his work at school so we feel it really benefits him.  He still has a lot of trouble with disorganization and being moody and sometimes aggressive, especially in the evenings when he is coming down off the medicine.  He also has some headaches still, but not too much trouble sleeping.  His behavior and ability to finish his school work all depend on whether he has had his medication though.""",9.0,40
Birth Control,"""First had it in February 2014 my period didn&#039;t stop until July 2014. Horrible then it started to come on just once a month instead of everyday. But I had sex and now it just doesn&#039;t come on at all. Weird but it&#039;s good birth control. After your body gets use to it first.""",9.0,18
Birth Control,"""I first had the mirena 7 years ago and had no problems at all and not one period.Two years ago had new one put in and this time around have regular painful and heavy periods so not sure why . Other than that no other side effects that have stood out.""",9.0,16
"COPD, Maintenance","""Switched from Symbicort. Combivent works much better than Symbicort or Albuterol for me.  My wheezing is allergy induced. Ipratropium addresses the allergic component. Seems wetter than other inhalers which helps delivery.""",9.0,12
Obesity,"""Started Qsymia in April, 2013, due to my health conditions. I have diabetes, low thyroid, high blood pressure and high cholesterol. I weighed 205 lbs and couldn&#039;t lose weight no matter what I did. After 4 months, I had lost 35 lbs, stopped having night sweats, gained tons of energy, and felt like a &quot;normal&quot; person in my eating. I could only eat small portions and then was full. The only side effect I had was occasional tingling of the fingers. 8 months later I haven&#039;t gained any of it back! I have to remember to eat small portions now, or my old habits could come back, but I learned how to manage my eating. My HbA1C is now 5.6, I only take 1/2 of my starting blood pressure dosage, my thyroid levels are great, and cholesterol is fine. Do it!""",10.0,74
Anxiety,"""I am a tricky person for the Doctor&#039;s to treat. Lots of things they thought would be of help, were complete opposite for me..I often get the worst side effects on the list! Im 35, have battled chronic depression &amp; anxiety since early teens..serious back &amp; neck troubles started almost 15 yrs ago..which has progressively gotten worse, &amp; diagnosis of fibromyalgia, &amp; cps,&amp; cfs.  Sleeping, has always created some major anxiety for me since I was very young. I&#039;ve been taking trazodone for 15 yrs, and it still works just the same, without having to increase the dose. So I get the 100 mg pills, &amp; score them into 4&#039;s. One works to get me 7 hrs. You have to be in bed, ready to go to sleep, then take it, &amp; give it 20-30 min. I PROMISE SLEEP.""",10.0,190
,"""I literally received this shot a few days ago and I can already feel a difference. I was on the pill with no problems but had to stop taking it because of the migraines that I get and the possible risk of taking the pill. My chest is very sore, I&#039;m tired, getting random headaches and sort of down(mood). I&#039;m not as talkative, it&#039;s almost like my personality just disappeared overnight. I definitely don&#039;t feel like my usual self. I wanted to see some reviews to see how quickly others were feeling side effects and what they are experiencing. It seems like these symptoms have a possibility of going away...not sure how long I want to wait, even though I still have a minimum of three more months.""",2.0,15
Obsessive Compulsive Disorde,"""So far this is the best medication I&#039;ve been on for Obsessive Compulsive Disorder. I have obsessive thoughts and ruminating as my compulsion and it was totally debilitating before. I was on mirtazapine for a while but felt emotionless and still had a lot of OCD-&quot;crashes&quot;. Switched to Fluvox because mirtazapine made me gain a lot of weight. Finally losing weight now and have a normal appetite again! Obliterates obsessive thoughts and makes me feel really happy, plus I have all my strong emotions back, feeling more &quot;me&quot; again. 
Frustrating side effect in insomnia (most nights I wake up 2-3 times for 30 mins at least and sleep very restlessly) but the headaches and nausea have both passed, so hopefully this will also pass.""",9.0,117
Panic Disorde,"""Ostensibly prescribed for Menieres and vertigo, it had a huge impact on my panic episodes and anxiety, only slightly less effective than Xanax, but slightly longer lasting. Also was a smooth, warm feeling taking it. The downside after a months use, after a week of nothing, the nausea and vomiting kicked in heavy, so I shy away from this one... That time delay of withdrawal was awkward in public places. Still, if I were to ask for an adjuvant, I&#039;d pick Ativan over the more powerful Xanax.""",9.0,41
Cough,"""This seems to be the only cough syrup that stops my chronic non-productive cough as it doesn&#039;t knock me out. At one time the directions were 1-2 tsps/4 hours. I found out that 2 tsps will make me drowsy and nauseous so I stick to 1 teaspoon.""",10.0,19
Depression,"""Day 6 and I&#039;m up at 2am. Maybe the energy is kicking in, I don&#039;t know. I suffer from bipolar, anxiety, panic attacks, depression. I usually feel a little manic all the time, but the 2nd day taking this medicine, a calmness came over me. I&#039;m a pack a day smoker, but haven&#039;t had or wanted a cigarette from that 2nd day. I&#039;m taking 75mg twice a day, but I think I need to just take it in the morning. I don&#039;t feel all energetic but I haven&#039;t been taking a nap in the afternoon like usual. And tonight I can&#039;t fall asleep...and I take 100mg of trazodone to fall asleep. Also I haven&#039;t been on Amazon and Ebay wanting to buy everything I see. I&#039;ll see how it goes day by day but I&#039;m very hopeful! By the way...if you are bipolar DO NOT TAKE LEXAPRO!""",8.0,104
Major Depressive Disorde,"""I was started on 100 mg of Wellbutrin in January, initially did not note much of a mood alteration other then feeling more energetic. I was upped to 200 mg, and I had never felt better in my entire life. I started performing great in school, had a high energy level and motivation. I was happy and felt good. I lost initially 5 pounds and now I lost a total of 20 in three months (note I also was attempting to lose weight). The only side effects I experienced were hot flashes the first week I took 200 mg which was odd but manageable. Also I had insanely vivid dreams. Recently upped to 300 mg, and I feel manic. It is bizarre, this amazing medicine now does not work, my doc said I may possibly have bipolar depression, So I still highly recommend.""",9.0,109
